ARBITRAGE_QUANTITY,DEFAULT_SPREAD_MEAN,KELP_BETA,KELP_MM_EDGE,KELP_TAKE_WIDTH,LATE_DAY_SIZE_FACTOR,LATE_DAY_SPREAD_FACTOR,LATE_DAY_TIMESTAMP,RESIN_MM_EDGE,RESIN_TAKE_WIDTH,ROLLING_WINDOW,SQUID_BETA,SQUID_LONG_EMA_WINDOW,SQUID_MM_EDGE,SQUID_MOMENTUM_THRESHOLD,SQUID_SHORT_EMA_WINDOW,SQUID_TAKE_WIDTH,SQUID_TREND_BIAS,SQUID_TREND_THRESHOLD,SQUID_VOL_THRESHOLD,ZSCORE_THRESHOLD,profit
15,92,0.4812880560999774,1.1498180992320637,1.1783168793258478,0.6381373164245989,2.135615342362983,836140,1.5783659516643218,8.364785150046668,52,0.9635579032960846,34,1.6705706336697403,12.536817466699498,9,6.290090780120802,1.2584986452948863,2.1444735252103397,7,3.871458713947588,75558
10,55,0.9088513876452687,1.833287128848768,4.599412127704339,0.5376288213489373,2.1800438965805373,804626,2.241373006465947,5.56087395582916,35,0.18715870719816619,22,4.386930366829271,12.09747596914985,8,9.67312561918392,1.2352999272417637,4.964226792190974,23,5.8521811673607615,71643
6,21,0.655498438283906,1.5556053670146135,1.4522506244921867,0.9338043183845349,2.306109118613715,814216,2.33515450780916,9.207425197184614,79,0.3845466251152152,31,4.8832483833462605,11.035899174495047,10,4.678513308105739,0.9341266829122585,4.192950976943704,8,4.369770756190994,72584
3,8,0.6612466370189631,1.0650719970859117,3.754893768317089,0.9039149429358335,2.2080114468805854,814227,1.5093990249939635,13.337339779040741,82,0.16319192363540536,30,8.014040481915044,6.962744790031846,6,1.1256310255063955,0.8426678610506797,4.012604550598004,11,6.214502048810269,75054
11,91,0.30845439998117363,1.7561511795473295,3.682919452789341,0.7337218429532839,2.0710773064110057,898936,2.283481782087663,14.091048469392497,28,0.8819821350197478,32,7.9464097362295245,8.345416843508504,5,3.23693159488909,0.8941949693803144,4.108783299483981,27,9.776954258393566,76670
10,32,0.518280619694061,1.0003066737556987,2.245976205501914,0.7371046744600656,1.075480260921816,846087,2.6562423914920963,8.654937025892394,88,0.6319523076502325,38,5.637908420080734,10.517854555469093,10,6.298791227508713,0.6287498447087752,1.8938382226453492,19,9.52636789432155,49506
7,28,0.21230675192871085,1.1068368380536378,4.087930566564406,0.8277193098190012,2.3928970539859806,859241,2.2322605370744153,7.295926602692915,34,0.329650547927992,39,3.7292584115704006,7.312460657938478,7,6.957269747280858,0.8269248277594599,3.061094357890973,27,3.749801857158597,75690
9,21,0.7196093740346321,0.5825917472753563,2.276001405737659,0.7702258835213671,1.1128247547329067,859240,1.3232396707734317,7.935525187761085,34,0.3246477937737148,43,8.402339979582987,13.606557026973801,8,1.1958915731297588,1.1403475848680835,0.7779069520915475,20,8.259276218571832,59224
1,96,0.157457753558796,0.917711516100344,1.3586398932950976,0.5274432454274522,2.2038061948449776,833054,1.6883932555872445,6.056486543356599,98,0.36396886746557067,37,2.3360598847675744,5.901971159294803,9,5.954665471874295,1.4931327713412292,3.0349367586129348,29,9.956301738957386,76243
7,78,0.060840384698335415,0.6115009423691242,1.8523989080683543,0.6506637557016377,2.273244155728414,896546,1.3955703466456384,7.414181613947774,93,0.42994735020444985,44,5.545450439462224,12.706761017272846,8,7.251862607146846,1.2780170518368363,1.1290283357060815,7,9.544927772730997,61940
12,81,0.03046532462591578,0.9075862612211405,1.1014292822564737,0.9457047294961929,1.7377171296240066,885472,2.8610916706507563,5.509005467283724,98,0.0475121491353675,39,4.493816901190446,9.540635988027361,6,9.575390228046736,0.8611706264313965,2.789204346091367,28,6.9802882127682295,46860
